"Dim.1","Dim.2"
-1.24049147773456,5.99874440894417
-1.24024679858003,5.99941705359303
-1.23999312295166,5.99906515458304
-1.23983867285901,5.99723993222419
-1.24096048577152,5.9959973452675
-1.24015991391421,5.9974111921106
-1.24027057305127,5.99585229838168
-1.24193022263234,5.99419799602743
-1.24186348350761,5.99447822226317
-1.24300633489666,5.99243922845088
-1.24290257052664,5.99185739545601
-1.24360118618997,5.99094423574549
-1.24383019353899,5.9902962222154
-1.24424721086485,5.98836641460564
-1.2455382817135,5.98845446074205
-1.24650475495973,5.987657029723
-1.24757546803555,5.9851123235112
-1.24831353632298,5.98452502122848
-1.24878149836611,5.98453531399749
-1.25019862090328,5.98383779537775
-1.25113226722406,5.98252491489944
-1.25172801500537,5.98081350020688
-1.25273484210825,5.9801329688895
-1.25416050056015,5.97934274147634
-1.2542672774416,5.97829125222664
-1.25567346810202,5.976885266808
-1.25657452190637,5.97606632239762
-1.25662685327372,5.97447298002217
-1.25766803149545,5.97196308766974
-1.2589544823829,5.97057879375781
-1.25974117628568,5.96994907175508
-1.26109260251596,5.96806650334707
-1.26161113713001,5.96607631267373
-1.26308813566841,5.9641412909874
-1.26437292035456,5.96350923696567
-1.26567303464361,5.96207044795954
-1.26592910710109,5.96109066218735
-1.26653705228074,5.95987592922969
-1.26817733057282,5.95831488603624
-1.26921120425912,5.95654933308312
-1.27066112977447,5.95602479993358
-1.27182524838601,5.95434323775314
-1.27320678345571,5.95182040400589
-1.27497160159498,5.95010489512016
-1.27624492344687,5.94747415920862
-1.27605343144412,5.9477729356455
-1.27845732279777,5.94514997158874
-1.27891927886257,5.94486607598342
-1.28020215912598,5.94186157689665
-1.2806778008379,5.94026649005242
-1.28157879490296,5.93818617375945
-1.28309708794132,5.93592906355896
-1.28321723275554,5.93500072897895
-1.28414617564711,5.93260794235759
-1.28453376814934,5.93095602868119
-1.28753371693118,5.92636162132798
-1.28674171093726,5.92457955029523
-1.28809345549156,5.9228400716326
-1.28865925632439,5.92027328174513
-1.28955338447699,5.91784268098293
-1.28982108334103,5.91540792835826
-1.29010183806512,5.91184379099823
-1.29050342916666,5.90943086954774
-1.29161195030726,5.90555582978827
-1.29170807710801,5.90304505301963
-1.29171180107886,5.89933694553075
-1.29250098676582,5.89605431790961
-1.2931854991002,5.89138014465387
-1.29350863688604,5.88738151591016
-1.29436703941564,5.88261857109478
-1.29392207356332,5.87987923539035
-1.29440956153197,5.87564547248554
-1.29478641413643,5.8705811350392
-1.29480975745645,5.86677187462625
-1.29415852535942,5.86271340250313
-1.29473544581003,5.85840059675713
-1.2947651996009,5.85465909112591
-1.29637403838277,5.84869037433632
-1.29601440716021,5.84457517244739
-1.29636684087052,5.8408268431294
-1.29689742761737,5.83637107906428
-1.29766486601597,5.83015525846032
-1.29751545847178,5.82502285204545
-1.29837389891706,5.82072936404876
-1.29950957932754,5.81512237719671
-1.30010702083817,5.80977522622745
-1.3011769720175,5.80373069629711
-1.30243861927018,5.79746561523942
-1.30316864658443,5.7921756713843
-1.30416013246246,5.7867053014936
-1.30681239298091,5.77982002796154
-1.30843652913578,5.77267354275156
