"Dim.1","Dim.2"
-0.152031090422591,-1.36732457618075
-0.151126703048163,-1.36901400713866
-0.149752445862182,-1.37075456388839
-0.148171764389425,-1.37289386293864
-0.146536237964894,-1.37447189150073
-0.145584177487407,-1.37637726715513
-0.144335732365909,-1.37841301957827
-0.143870922516455,-1.37996735810697
-0.143193570972289,-1.38201414785376
-0.142151108381094,-1.38344816387872
-0.141107390643459,-1.38514490507916
-0.140717636787036,-1.38650236755734
-0.140384433483235,-1.38808232525081
-0.139963845057495,-1.38943590580024
-0.139500564197683,-1.39084666490493
-0.138815580341115,-1.39254879202215
-0.139292457559727,-1.39385292060939
-0.138968012582525,-1.39518671507368
-0.138073547095074,-1.39642172810852
-0.136881318954017,-1.39778407808943
-0.136568339204449,-1.3991048228121
-0.136106098546491,-1.40034868243947
-0.136405785359181,-1.40147664954552
-0.136062986197911,-1.40256387523318
-0.134957037189558,-1.40352104793523
-0.134017422237915,-1.40485515507403
-0.133962227213323,-1.40599009637862
-0.133713663821195,-1.40698170570671
-0.133614251964013,-1.40808548761506
-0.132963591127183,-1.40925537959068
-0.132422593086458,-1.41052364098528
-0.131427499342347,-1.41157922189882
-0.130584341766221,-1.41260881653482
-0.131053157641257,-1.41362175387133
-0.130943579963826,-1.4144821786606
-0.130589297885292,-1.41537432557368
-0.130160168470605,-1.41650002016671
-0.129842276740688,-1.41750292400728
-0.129112487457859,-1.41811106564167
-0.128428633179321,-1.41908605957009
-0.128659798912522,-1.41988741327011
-0.128060946572719,-1.42075666451177
-0.127899354779336,-1.42195253394275
-0.127628668585268,-1.42298817506096
-0.12690758759551,-1.42405451871834
-0.125962776785944,-1.42505109942455
-0.125176950578983,-1.42594570347162
-0.124548816742007,-1.42706484023686
-0.123920183179112,-1.42834331859326
-0.123397938018408,-1.42925161807915
-0.122857673072217,-1.43037488657181
-0.12204806395671,-1.43128515470897
-0.120654199913606,-1.43242350318691
-0.119120140631539,-1.43346287730062
-0.117980281412853,-1.43440693728991
-0.11695659659335,-1.43553185647912
-0.116270635018002,-1.4367191624008
-0.115017740957765,-1.43774001627338
-0.114158070550673,-1.43863082181202
-0.112579139587486,-1.43999274974637
-0.111299798668995,-1.44118568993735
-0.110141800651497,-1.44207891384524
-0.109137016031822,-1.4428776693408
-0.107446215851136,-1.44378418322308
-0.105873375243671,-1.44497236869724
-0.10417484318249,-1.44619980459343
-0.102987906776523,-1.44688043862341
-0.101924147581029,-1.44776200072367
-0.100683578643314,-1.44856570588877
-0.0993330823974018,-1.44978731599067
-0.0979713097621497,-1.45093281424241
-0.0963396552769973,-1.45195876745462
-0.0949586877875463,-1.45309375970516
-0.0934865155777714,-1.45431136698168
-0.0924134580424295,-1.45540334068418
-0.0909309986538943,-1.45624126863332
-0.0895596300794566,-1.45716142219713
-0.0878305022870379,-1.45829113305899
-0.0854218826112377,-1.45943676355746
-0.0836161724883649,-1.46056947064475
-0.0815015749452493,-1.46131521491537
-0.0802406502747135,-1.46228845141515
-0.0787343860171071,-1.46310642689756
-0.0769680579592969,-1.46396044408943
-0.0747342945657412,-1.46502071483408
-0.0725116127764271,-1.46622983906128
-0.0701618466283877,-1.46708248092555
-0.0683241158239793,-1.46803765438794
-0.066356880689798,-1.46912999364087
-0.0639989607767151,-1.47003168858385
-0.0620435435827065,-1.47089111023706
-0.0600563034077412,-1.47178782265206
-0.0587458206057872,-1.47252128580588
-0.0574077259347178,-1.47332687105787
-0.0553886381746439,-1.47423001076991
-0.0533908802775466,-1.47488211810353
-0.0517570084423538,-1.47573063306942
-0.0500501666635332,-1.47669729120597
-0.0488929379181054,-1.47721499740336
-0.0474041277151858,-1.47788829304108
-0.0458514744859704,-1.47873849113321
-0.0439400489661563,-1.4792279345119
-0.0431149895033778,-1.47980325270045
-0.0409856674670638,-1.48038053841977
-0.0393305238256855,-1.48108153046825
-0.0377122300665729,-1.48169982441695
-0.0361224754956072,-1.48200081425986
-0.0344861844530555,-1.48249677991769
-0.0327956304205931,-1.48290274175451
-0.0310579973447975,-1.48351310578075
-0.0297711391842614,-1.48397551435885
-0.0286708168687336,-1.48421343005405
-0.0273527093343816,-1.484857211
-0.0258870588931927,-1.48529261946438
-0.0245099386653501,-1.48589592607592
-0.0238717986888845,-1.48639496252804
-0.0227595722068295,-1.48704561607109
-0.0215170799710099,-1.48757230564268
-0.0197758028095424,-1.48812735198169
-0.0186337499379374,-1.488460367637
-0.0178049436741049,-1.48895762474601
-0.0163285220562512,-1.48939140464614
-0.0152298210014224,-1.48986852738283
-0.0141812113087867,-1.49019277665706
-0.0136683630027456,-1.49052363959579
-0.0128363733004899,-1.49108035693953
-0.0117039525656281,-1.49152898264909
-0.0111068934381377,-1.49187846376452
-0.00998678469368222,-1.4924781001576
-0.0092461703070053,-1.49296754506518
-0.00814972706237047,-1.49328056157644
-0.00738249253477575,-1.49340096357916
-0.00646346309534629,-1.49369005247056
-0.00608759807521123,-1.49421311696251
-0.00576950119678561,-1.49471992166898
-0.00602511960497925,-1.49495087353275
-0.00588442993955117,-1.49505033844214
-0.00512746099229643,-1.49521722203969
-0.00514555517833916,-1.4950406429759
-0.00485576812583393,-1.4950929191132
-0.00496813239506086,-1.49509842309321
-0.00542753069336051,-1.49500644709369
-0.0057218281613326,-1.49506888858178
-0.00652318464878297,-1.49537503492851
-0.00688190089300621,-1.49552333849165
-0.00711867305340174,-1.49524531221087
-0.00771051723525505,-1.49506872917383
-0.00806897484579828,-1.49492587739693
-0.00885547593880574,-1.49509520816058
-0.00908060968907834,-1.49508440633169
-0.0097188621187873,-1.49485874244952
-0.0107252584356935,-1.49469415592427
-0.0116206916689259,-1.49500964923
-0.0115178958207705,-1.49519021184496
-0.0122338779590151,-1.49513103892424
-0.0122598735471971,-1.49493373141115
-0.012944068253433,-1.49464717094816
-0.0131719755230441,-1.49459597995402
-0.0136545579657509,-1.49428359320995
-0.0141484034118778,-1.49419292995508
-0.0145690659172767,-1.49425100059716
-0.0149992980074172,-1.49414300879218
-0.015318037008217,-1.49419774183092
-0.0160449250306693,-1.4941068287462
-0.0161914597533926,-1.49421800345856
-0.0162739423325065,-1.49400912366403
-0.0166991626552657,-1.49381205393789
-0.0172800666632117,-1.49356328021463
-0.0178051205155879,-1.49349127435635
-0.018116673628121,-1.49336903368542
-0.0188704271315498,-1.49334358788478
-0.0189582210858206,-1.49330444806094
-0.0195171453532074,-1.4931709512861
-0.0198975524007696,-1.4932280833539
-0.020185107305983,-1.49314490416312
-0.0204572728511439,-1.49306812419859
-0.0207907430813229,-1.492898386201
-0.0209155136594622,-1.49288987955485
-0.0209329004995352,-1.49291736253315
-0.021295980466673,-1.49265276466422
-0.0213780567320641,-1.49275444279023
-0.0215220169358473,-1.49269907813455
-0.0220161452779342,-1.49247888256439
-0.0220436509155362,-1.49265073838247
-0.0220899636794247,-1.49259066625417
-0.0225298686393157,-1.49248543004977
-0.022568459044618,-1.49234831847242
-0.0226236483504093,-1.49233528642746
-0.0226324811855705,-1.49257893301008
-0.0223634091722586,-1.49267333694414
-0.0224606635886791,-1.49267999758799
-0.022110971681247,-1.49282480672688
-0.0214530763785708,-1.4931357993607
-0.0212359595935728,-1.49338148321489
-0.0206289413662687,-1.49359281045045
-0.0199044065205317,-1.49404551724945
-0.0192298689240152,-1.49415590359828
-0.0187374348792645,-1.49439555570852
-0.018164986190256,-1.49457238967622
-0.0172709325657331,-1.49505741925094
-0.0168766430655366,-1.49518125428638
-0.0163250782521092,-1.49541407165116
-0.0156014725046232,-1.49586224443397
-0.014512611264135,-1.4961118704352
-0.0140414566171622,-1.49609148173955
-0.0129068274090608,-1.49647496799095
-0.0119075295219775,-1.49671107786085
-0.0113296815414487,-1.49677448909634
-0.0108689781861486,-1.49700037055442
-0.0097007883528274,-1.49738697016862
-0.00916804792351016,-1.49770344368898
-0.0082259798209815,-1.49802239393671
-0.00735779458067751,-1.4986462630123
