"Dim.1","Dim.2"
-0.200144952441428,-0.953958100426187
-0.199593215442409,-0.95374818745306
-0.198240121692493,-0.953540626950971
-0.197637376963725,-0.953403839266785
-0.196932056183299,-0.953119229145234
-0.195653491236888,-0.952908007797007
-0.195069083621496,-0.952547322208187
-0.193698927682169,-0.952540034316335
-0.193026551872489,-0.952119512970587
-0.191250654761179,-0.952366046098594
-0.190810506494541,-0.951895153455089
-0.189168327372093,-0.952072287834857
-0.188238617594317,-0.951846544569028
-0.187112536182602,-0.951850778521401
-0.185654989136509,-0.951768417056601
-0.184747676584831,-0.951760874500302
-0.183254588359522,-0.951503202297571
-0.182355117155914,-0.951399140995033
-0.181352539791442,-0.951173719919537
-0.180569832044668,-0.950885683783678
-0.179247778287947,-0.950528803337052
-0.178371458243937,-0.950200326639786
-0.177371821502729,-0.949980708627336
-0.176261353362961,-0.949821718896741
-0.175771536468096,-0.949437179953278
-0.17457926761741,-0.949270101794423
-0.174147218465794,-0.948964100210698
-0.17279869665398,-0.94868274768798
-0.171147086854898,-0.948748072839306
-0.169981374960989,-0.948365424994869
-0.169143434064746,-0.947991390994344
-0.16772257868944,-0.947680546140947
-0.166393790879369,-0.947386100996159
-0.165084573757734,-0.947275068243904
-0.16414253676195,-0.947158210538158
-0.163500970109417,-0.946701222278608
-0.162644619102491,-0.946342026173142
-0.16098367041412,-0.946263022614495
-0.1604875778676,-0.945805931204185
-0.158328159270887,-0.945887697892536
-0.158171218190567,-0.945046820001965
-0.156333493164583,-0.944981437116999
-0.155267954266242,-0.94444143496887
-0.15388276566687,-0.944235195952018
-0.152785928249783,-0.943873439080867
-0.151619263323779,-0.943264993049287
-0.149899602189798,-0.943244753349194
-0.149265855646929,-0.942456196757249
-0.147796514592341,-0.942097812559537
-0.146891468131732,-0.941339814837861
-0.145695819439373,-0.940888147026651
-0.144452412604416,-0.940312598164766
-0.143752204597957,-0.939550420072165
-0.142640268492094,-0.93897919651588
-0.141601526863885,-0.938267691827018
-0.140785697333809,-0.937790537400371
-0.139769085517427,-0.937042398632835
-0.138818787830108,-0.936183383092477
-0.137339245051452,-0.935474642060431
-0.136570675480757,-0.934585359973322
-0.134821341649271,-0.933931573458213
-0.134278190009954,-0.933064425697322
-0.133121989834283,-0.932438266991272
-0.1324272758961,-0.931817252218474
-0.131759394168356,-0.931040265938856
-0.131336717371767,-0.929977806582836
-0.130634973059953,-0.929188819008451
-0.13012783510785,-0.928231567699763
-0.129471065259522,-0.927062794751669
-0.12897830877644,-0.926050791313528
-0.127698974727956,-0.925277120180107
-0.127571329947684,-0.924260273073529
-0.12661448474516,-0.923346171462541
-0.126356082398577,-0.922388319986889
-0.125365060449402,-0.921556603991105
-0.124005263354545,-0.920926486930227
-0.123757152290493,-0.920043016646932
-0.122613431623556,-0.919259485952656
-0.122078940158906,-0.91863022592006
-0.120541305915224,-0.917691336300975
-0.119690079380142,-0.916492103165165
-0.11903824350402,-0.915486781436397
-0.117522474937475,-0.914648636796517
-0.116234962814187,-0.913680856837928
-0.114944136368492,-0.912661536568943
-0.113631674314109,-0.912002958377253
-0.112638447876961,-0.910941893268872
-0.111676809383686,-0.90997499678505
-0.110454492258244,-0.909159775908483
-0.10971323293606,-0.908254328138928
-0.108272683706816,-0.907162960411441
-0.10672027404159,-0.906607148995708
-0.105567582096942,-0.905609087565003
-0.104175653935201,-0.90472189370282
-0.102739630864829,-0.903580696069113
-0.101803947195852,-0.902454511196141
-0.10041334556347,-0.901348778228596
-0.0990501129155576,-0.900478291053986
-0.0978117754927454,-0.899381927971709
-0.0970221592792651,-0.897933577810066
-0.0960729173700627,-0.896961994916373
-0.0953795312090759,-0.895655321103931
-0.0948714210716659,-0.894521876881736
-0.0941639646525294,-0.893239748701987
-0.0933201639889118,-0.892112940179894
-0.0920184484292626,-0.891046565692825
-0.091254243258517,-0.889688066872277
-0.0904136998889191,-0.888378357402788
-0.0894310471302521,-0.887100979158048
-0.0884153076332996,-0.885707610787771
-0.0872945025469471,-0.884756694501838
-0.0866475093430359,-0.883388605327642
-0.085574255157809,-0.882243174820263
-0.0846973969450052,-0.881089511439835
-0.0838380318358613,-0.879927869474801
-0.0831315166390201,-0.878851397536179
-0.081635435948083,-0.877750035985
-0.0801154162585767,-0.876789508679019
-0.0790283793010514,-0.87552510079767
-0.0770351552324568,-0.874431619461045
-0.0755238095794639,-0.873108011019357
-0.0740990780856617,-0.872283557375033
-0.0728565381211295,-0.870881827641449
-0.0714624068244467,-0.869946295324651
-0.0703235233430176,-0.868695343083105
-0.0683908913282946,-0.867747815156195
-0.0670934749254997,-0.866350207837178
-0.065937270906492,-0.865230962190554
-0.0640652170767207,-0.863990283007203
-0.0626008407583321,-0.862863919721341
-0.0602006002195293,-0.862154750515737
-0.0591174179305386,-0.860989015367862
-0.0583499843303964,-0.859834299653008
-0.0569207727677309,-0.858703981753442
-0.0555337155531586,-0.857550973074599
-0.0542155009447431,-0.85651001702441
-0.052550519971764,-0.855635496597988
-0.0511524054633551,-0.854401636644179
-0.0503003810882593,-0.853799371784271
-0.0487648674784499,-0.852967523668028
-0.0472944623328542,-0.852156329584596
-0.0461607333747968,-0.850939426585879
-0.0443346130485825,-0.850235852965957
-0.0426355429627256,-0.849218198756766
-0.0412819137815794,-0.848031598481715
-0.0390874618160758,-0.847208684917225
-0.0373630481000939,-0.84601102448378
-0.0357158001725384,-0.845265730874701
-0.0344809731556333,-0.844079796248795
-0.0326890175024186,-0.843415809405641
-0.0316347843928932,-0.842331277962795
-0.0298973498486792,-0.841280468502212
-0.0288806652651634,-0.840041682301035
-0.027427516765544,-0.839113960731213
-0.0266046216661934,-0.837649854702272
-0.0244557196239954,-0.836940275521905
-0.022854248145106,-0.83588987268467
-0.0220983477655059,-0.834454605494064
-0.0199152317275717,-0.833812320841529
-0.0188276313266319,-0.832723188114516
-0.0170959369084798,-0.832147682238648
-0.0162384324837132,-0.831021816394752
-0.0142887115437018,-0.830350176402665
-0.0135859736734457,-0.829518185802211
-0.0124523522251432,-0.828361999265738
-0.0106812483309799,-0.82786518816555
-0.00977676662340034,-0.826865453212518
-0.00836197207605936,-0.82603371435107
-0.00707314274967301,-0.825224951964839
-0.00552402656735055,-0.824628191100014
-0.00485472010460726,-0.823775320977134
-0.00387923101839864,-0.822502053037281
-0.00216788040146891,-0.821901857144353
-0.00104495524601247,-0.821053549482004
0.000571599957144664,-0.820266033844621
0.00187914792369095,-0.819575161158279
0.00305346768377955,-0.818630453442864
0.00469502200496267,-0.817958114106027
0.00617456826166639,-0.817445260957386
0.00725756018668077,-0.81642483650388
0.00887358695331022,-0.81599926412633
0.00955564527372897,-0.815096032848866
0.011580183081373,-0.814585209247437
0.0128103551220073,-0.813913814891082
0.0147432912073638,-0.81353008609316
0.015576051638924,-0.812752795004333
0.016955851219727,-0.812084084007146
0.0182655510640798,-0.811488733376904
0.0199055478745617,-0.810913425913787
0.021290076909059,-0.810311638743421
0.0224237579962843,-0.809609057507557
0.0240993976675354,-0.809150528787518
0.0262132192120427,-0.80889145598529
0.0269008395112353,-0.808219972578351
0.0282589148486251,-0.807643983375137
0.0297041281468397,-0.807267415147509
0.03080429577667,-0.806635823559476
0.0325565132287409,-0.806359242303392
0.0324943734829548,-0.805478602281746
0.034284770269492,-0.805113941656509
0.0351914612014975,-0.804717034646237
0.0359230037022685,-0.804084803798809
0.0373062065509519,-0.803543086790722
0.037932299402328,-0.802940298868293
0.0392719203038763,-0.802238348615664
0.0400760144178342,-0.801699872551299
0.0412001143121641,-0.801172934067709
0.0420983006164596,-0.800522877256096
0.043006220303527,-0.799580684259219
0.0439504324865279,-0.799096062994604
0.0443471807950436,-0.798186654711802
0.0451984779647871,-0.797491741614692
0.046499836222579,-0.797107356990837
0.0471606046418652,-0.796223778139421
0.0480350757003092,-0.795558470339711
0.0493750309185326,-0.795120487486028
0.0502501192472009,-0.794547331446663
0.0506174653844257,-0.793832072444879
0.0519794572482595,-0.793531904721291
0.0528143964090041,-0.792743241216732
0.0535020100025411,-0.79228039151008
0.0541606412786312,-0.791657612548159
0.0549383650781043,-0.791130316420517
0.0555624102582722,-0.790399655646197
0.0564755220412767,-0.790011541693302
0.0572507037211554,-0.78946701989109
0.05778480382815,-0.78892350300182
0.0583888047537653,-0.788580487580336
0.0588777654009066,-0.787950711546754
0.0597882503737602,-0.787489761616921
0.0601891097197183,-0.787123251631457
0.0611477649894261,-0.786574564636243
0.0614383539303219,-0.786068738898087
0.0626430768608401,-0.785864487921095
0.0635378556232089,-0.78541312012596
0.0637627265260907,-0.784611944059686
0.0651236932257533,-0.784354316181752
0.065411753152134,-0.783914170662231
0.0662614612299004,-0.783501216265207
0.0666638708178723,-0.78323326665618
0.0670503000175058,-0.782776747146345
0.068223568084288,-0.782472775156509
0.0685378618534097,-0.781937392198654
0.0692897531942695,-0.781784156261289
0.0700750774582217,-0.781357557322175
0.0702976503718966,-0.781256268049704
0.0712549712348878,-0.781041047247654
0.0714448552520749,-0.780813505086901
0.0718911862898826,-0.780841170287249
0.0716958427432886,-0.780231875844824
0.0726011570731487,-0.780041621320379
0.0728685952751523,-0.779883649373154
0.0733502557756036,-0.779485259229529
0.073286481294443,-0.77930746784508
0.0735765012150538,-0.778994040362246
0.0740468671354771,-0.779156715566024
0.0739074296090545,-0.778708887571307
0.0753233274138914,-0.778901782446973
0.075008429339158,-0.778534639119978
0.0750249800600012,-0.778486306863031
0.0755954936239386,-0.778406932181144
0.0761048220112831,-0.778311440816689
0.0766678833112774,-0.778327651798225
0.0764938483974848,-0.777924256034171
0.0767591658373803,-0.778003292207336
0.0769243091048868,-0.777683288122008
0.0772145032942426,-0.7776831502602
0.077169061184221,-0.77743218235273
0.0770704414176699,-0.777225427371485
0.0773768844095421,-0.777083636403146
0.0780803425270569,-0.777205903679892
0.0784134546578594,-0.777266856725082
0.078348129992724,-0.77702192874598
0.0783035531344183,-0.776891890707473
0.0780665237975706,-0.776830523133056
0.0787279796278628,-0.776920297252558
0.0786034336505394,-0.776755782191256
0.0784492389842979,-0.776767799737282
0.0787831026050718,-0.776957637857141
0.0795231588545461,-0.777597504688486
0.0794026985177907,-0.777558251005828
0.0792165061495304,-0.777545595526732
0.0799734635695769,-0.778309138908937
0.0800010878369117,-0.778409271758817
0.0803449786284677,-0.77880315016495
0.0805523319498697,-0.779286679128074
0.0808442970512903,-0.779574358502921
0.0813062127664599,-0.780252304814942
0.0821449200835401,-0.781020516295213
0.0824935571944862,-0.781389876944936
0.0826126318265486,-0.781916497371958
0.0830150363109255,-0.7825917680746
0.0839345694331071,-0.783342837783471
0.0835375051327732,-0.783560922819141
0.0843991337347066,-0.784447597375421
0.0845477497327131,-0.785159132965829
0.0852918371991306,-0.785999225647569
0.0862536978916879,-0.787030245363323
0.0860502415211195,-0.787520244517512
0.0866196937712231,-0.78835781207656
0.0870155683387364,-0.789247211918179
0.0869017288974007,-0.789871430377253
0.086876591040885,-0.790799719896794
0.0869695419679098,-0.791629348955003
0.087163550839367,-0.792325146799507
0.0873230482856647,-0.793199197189566
0.0872150174086862,-0.793857139534332
0.0868506795527496,-0.79460864924571
0.0872964237793407,-0.795414268434428
0.0863571812885422,-0.7961967387949
0.0870142294282396,-0.7970335390325
0.0869686956900146,-0.797968288077178
0.086844004051049,-0.798604297608719
0.0872440687739237,-0.79972810439043
0.0874855381310432,-0.800746905459005
0.0873066571355265,-0.801556309914929
0.0870844783114822,-0.802479448332136
0.0862427408674992,-0.803340984250268
0.0865763773559356,-0.804356139426177
0.0864840288958901,-0.805560939272666
0.0860410800616197,-0.80621240182859
0.0857641381581346,-0.807287597835431
0.0860907991674318,-0.808510507162821
0.0858507002309728,-0.809719546015742
0.0857269355082221,-0.810956332468532
0.0850213217251764,-0.812015143928542
0.0853185806425626,-0.813514864260343
