"Dim.1","Dim.2"
1.19202208602796,1.44374915146621
1.19167135783943,1.44340520214502
1.19138759422261,1.44326371619359
1.19150864365533,1.44315926676589
1.19120031973087,1.44316194836578
1.19113490295712,1.44319556930951
1.1911327307525,1.44292106732475
1.19115004662597,1.44312532847421
1.190846901542,1.44294174706623
1.19074954167632,1.4427937307964
1.19065108967451,1.4426936869067
1.19061849964189,1.44286531820469
1.190324355545,1.44243251612438
1.19047423360611,1.4425933556805
1.19022883995474,1.44273394237931
1.19007437147674,1.442469093928
1.18987892982892,1.44232856397774
1.18991880297711,1.44236839569384
1.19001693845963,1.44242929806443
1.18967777400997,1.44224914510785
1.18960229796264,1.4421981780101
1.18960598663401,1.44203482374134
1.18952311037414,1.44213490314595
1.1896225807802,1.44203939456848
1.18910511254346,1.44172588471085
1.18913067139955,1.44162849053604
1.18939127417553,1.44199299593029
1.18885361963036,1.44165963775179
1.18877144502664,1.44142466063838
1.18890863564733,1.44142798844784
1.18906427938187,1.44167312502763
1.18882282485695,1.44132447620558
1.18875807491489,1.44120204695243
1.18869297197871,1.4411828727136
1.18844017844991,1.4408881782445
1.18832637590278,1.44098622196759
1.18848416099081,1.44084560858449
1.18815034105567,1.44078193046877
1.18790034413584,1.4405255227617
1.18790588717643,1.44044005536636
1.18792083773889,1.44045668423475
1.18733079863298,1.44019184720239
1.18708260844295,1.44000090931107
1.18714269079804,1.44011323826909
1.187001807296,1.43994468358236
1.18679023266807,1.43974756084653
1.18660829743681,1.43965257646578
1.18637585215668,1.43940523118877
1.18628346777426,1.43947337675671
1.18593466893137,1.43932098730572
1.18572714969347,1.43905348422795
1.1854903504853,1.43908881189674
1.18518650988851,1.43891622335178
1.18509861625093,1.43881866703252
1.1845872668013,1.43851423846184
1.18451837604632,1.43873256773453
1.18430292193653,1.43846282525325
1.18409466104004,1.43832794295609
1.18380524356728,1.43830748923299
1.1839176516146,1.43842854748963
1.18364680931869,1.43832061914811
1.18371245088151,1.4382365913719
1.18321013185779,1.43792223022945
1.18325099613165,1.43803281596574
1.18344095401809,1.43805057850055
1.18302724509147,1.43790448790306
1.18310324761492,1.43774016372916
1.18273046369723,1.43768954422898
1.18271517040677,1.43749224471435
1.18281052888243,1.43745908421639
1.18267904347468,1.43745007790744
1.18252694691311,1.43756913959722
1.18245771311603,1.43747918523365
1.18270716638007,1.43752120772803
1.18249403527038,1.43760536557328
1.18237326801595,1.43733826398284
1.18295739105403,1.43762689384036
1.18285825769766,1.43746307349789
1.18259543443112,1.43735413971979
1.18252309866226,1.43719308064215
1.18277001011094,1.43737105125366
1.18243008246189,1.43729623457773
1.18272224189684,1.43722977702157
1.18281390126023,1.43745337221071
