section id,recording id,recording name,wearer id,wearer name,section start time [ns],section end time [ns],start event name,end event name
94d625bc-9488-4219-93a9-a7a8a511e262,81537605-3bb4-4ac5-a579-99a1d882aa1d,group5_B5_JointLead,9e8d924f-0d1c-49ed-99e0-e6863ff1155c,A5,1699016974420000000,1699017046670000000,recording.begin,recording.end
b2a28012-9423-43d4-9f73-cabe0444d9b0,43783670-ab93-4617-a667-73f42e356a65,group5_B5_LeadFollow,3b37b7d6-84a9-4905-aea8-af0b43d32dd5,B5,1699016572550000000,1699016689633000000,recording.begin,recording.end
4e3a13a2-9c63-4be5-a828-6bb5aebe1b50,5ad943d8-aac4-4955-8de6-80c6f7f1b965,group5_A5_JointLead,3b37b7d6-84a9-4905-aea8-af0b43d32dd5,B5,1699016976511000000,1699017049974000000,recording.begin,recording.end
63290939-a404-4b28-9036-ef3137064af7,06c9a74a-66fb-4313-abc2-48ffda22a1ea,group5_B5_FollowLead,9e8d924f-0d1c-49ed-99e0-e6863ff1155c,A5,1699017232087000000,1699017297922000000,recording.begin,recording.end
8aed8866-7c74-4b6b-9173-7a78c86785b4,1d791aef-4b23-4b3c-89a1-eb7da76296b6,group5_A5_FollowLead,3b37b7d6-84a9-4905-aea8-af0b43d32dd5,B5,1699017241377000000,1699017295526000000,recording.begin,recording.end
12b8bb7f-6028-495d-a262-75fea5dea174,fea035ac-b159-42c0-aacf-198f26c2bf2a,group5_A5_Custom,9e8d924f-0d1c-49ed-99e0-e6863ff1155c,A5,1699017468375000000,1699017573323000000,recording.begin,recording.end
dd6be19d-e92a-4b07-9231-88ed6461525b,39b551b1-b345-4478-afee-158973115dd7,group5_B5_Custom,3b37b7d6-84a9-4905-aea8-af0b43d32dd5,B5,1699017483916000000,1699017574807000000,recording.begin,recording.end
8376fdd0-5673-461b-a3df-02814336f39d,7141307c-ccbf-4da4-a689-0ca41ff7517c,group13_B13_FollowLead,3a13410c-b8fd-4fd2-8733-690708c50e27,B13,1699022042036000000,1699022121203000000,recording.begin,recording.end
9c0a07fb-519e-4635-811d-749fa4280ebb,476c0445-6cbb-42b5-817d-737e3e40b6fa,group13_B13_LeadFollow,3a13410c-b8fd-4fd2-8733-690708c50e27,B13,1699021258731000000,1699021419998000000,recording.begin,recording.end
2bc0d039-e3fb-4001-8110-0cf673e7f1be,e80b1df0-febb-4555-9a68-d5bf12607066,group13_A13_JointLead,82e1806f-6e25-4a88-a32d-dd38e4132e30,A13,1699021792614000000,1699021871081000000,recording.begin,recording.end
bbea0f13-c823-48b1-af96-915197932198,da1ec241-49ab-496c-af2e-d39e486d6ebf,group13_B13_JointLead,3a13410c-b8fd-4fd2-8733-690708c50e27,B13,1699021790702000000,1699021874379000000,recording.begin,recording.end
04d4584e-34e3-47fd-b5bc-8dd923b13329,45684469-c4e5-476d-9e91-4d690f3a97ee,group13_A13_FollowLead,82e1806f-6e25-4a88-a32d-dd38e4132e30,A13,1699022041814000000,1699022110863000000,recording.begin,recording.end
