NO_OF_FRAMES	23509
NO_OF_CAMERAS	9
NO_OF_MARKERS	0
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-03, 08:13:12.823	321964.51460860
DATA_INCLUDED	3D
MARKER_NAMES
TRAJECTORY_TYPES
Frame	Time	
379	1.26000	
380	1.26333	
381	1.26667	
382	1.27000	
383	1.27333	
384	1.27667	
385	1.28000	
386	1.28333	
387	1.28667	
388	1.29000	
389	1.29333	
390	1.29667	
391	1.30000	
392	1.30333	
393	1.30667	
394	1.31000	
395	1.31333	
396	1.31667	
397	1.32000	
398	1.32333	
399	1.32667	
400	1.33000	
401	1.33333	
402	1.33667	
403	1.34000	
404	1.34333	
405	1.34667	
406	1.35000	
407	1.35333	
408	1.35667	
409	1.36000	
410	1.36333	
411	1.36667	
412	1.37000	
413	1.37333	
414	1.37667	
415	1.38000	
416	1.38333	
417	1.38667	
418	1.39000	
419	1.39333	
420	1.39667	
421	1.40000	
422	1.40333	
423	1.40667	
424	1.41000	
425	1.41333	
426	1.41667	
427	1.42000	
428	1.42333	
429	1.42667	
430	1.43000	
431	1.43333	
432	1.43667	
433	1.44000	
434	1.44333	
435	1.44667	
436	1.45000	
437	1.45333	
438	1.45667	
439	1.46000	
440	1.46333	
441	1.46667	
442	1.47000	
443	1.47333	
444	1.47667	
445	1.48000	
446	1.48333	
447	1.48667	
448	1.49000	
449	1.49333	
450	1.49667	
451	1.50000	
452	1.50333	
453	1.50667	
454	1.51000	
455	1.51333	
456	1.51667	
457	1.52000	
458	1.52333	
459	1.52667	
460	1.53000	
461	1.53333	
462	1.53667	
463	1.54000	
464	1.54333	
465	1.54667	
466	1.55000	
467	1.55333	
468	1.55667	
469	1.56000	
470	1.56333	
471	1.56667	
472	1.57000	
473	1.57333	
474	1.57667	
475	1.58000	
476	1.58333	
477	1.58667	
478	1.59000	
479	1.59333	
480	1.59667	
481	1.60000	
482	1.60333	
483	1.60667	
484	1.61000	
485	1.61333	
486	1.61667	
487	1.62000	
488	1.62333	
489	1.62667	
490	1.63000	
491	1.63333	
492	1.63667	
493	1.64000	
494	1.64333	
495	1.64667	
496	1.65000	
497	1.65333	
498	1.65667	
499	1.66000	
500	1.66333	
501	1.66667	
502	1.67000	
503	1.67333	
504	1.67667	
505	1.68000	
506	1.68333	
507	1.68667	
508	1.69000	
509	1.69333	
510	1.69667	
511	1.70000	
512	1.70333	
513	1.70667	
514	1.71000	
515	1.71333	
516	1.71667	
517	1.72000	
518	1.72333	
519	1.72667	
520	1.73000	
521	1.73333	
522	1.73667	
523	1.74000	
524	1.74333	
525	1.74667	
526	1.75000	
527	1.75333	
528	1.75667	
529	1.76000	
530	1.76333	
531	1.76667	
532	1.77000	
533	1.77333	
534	1.77667	
535	1.78000	
536	1.78333	
537	1.78667	
538	1.79000	
539	1.79333	
540	1.79667	
541	1.80000	
542	1.80333	
543	1.80667	
544	1.81000	
545	1.81333	
546	1.81667	
547	1.82000	
548	1.82333	
549	1.82667	
550	1.83000	
551	1.83333	
552	1.83667	
553	1.84000	
554	1.84333	
555	1.84667	
556	1.85000	
557	1.85333	
558	1.85667	
559	1.86000	
560	1.86333	
561	1.86667	
562	1.87000	
563	1.87333	
564	1.87667	
565	1.88000	
